chapter,most_frequent_words
chapter_1,"good, gandalf, morning, time, never, long, burglar, father, baggins, remember, dragon, map, bilbo, door, dwarves, grandfather, mountain, things, fellow, service, east, hear, lot, dragons, man, great, pardon, idea, business, asked, mind, house, wrong, key, sit, day, adventures, till, dear, sir, son, luck, quite, parts, tea, balin, lots, thorin, bring, suppose"
chapter_2,"yer, never, time, good, cook, none, mutton, shut, lots, yerself, sit, light, parts, trolls, night, yellow, fool, bilbo, baggins, nonsense, fellow, dusted, fourteen, hat, precise, things, dry, sleep, mountains, seldom, road, round, trouble, burglar, perfectly, quick, blimey, bit, long, william, mouth, bert, fat, burrahobbit, poor, blighter, till, tom, water, booby"
chapter_3,"moon, day, durin, mountains, elves, good, gondolin, dwarves, mountain, misty, path, valley, house, friends, straight, father, long, hush, night, swords, high, goblin, goblins, ago, runes, trolls, guess, written, sun, autumn, wilderland, deal, lonely, east, smaug, lies, treasure, road, food, thing, rest, reasonable, tackle, proper, lost, start, edge, wild, hidden, ahead"
chapter_4,"thorin, cave, struck, lightning, ponies, goblins, mountains, good, quicker, summer, haymaking, picnics, harvesting, blackberrying, rate, durin, day, blown, drowned, picked, giant, kicked, football, dry, round, corner, inside, explored, big, miserable, persons, dwarves, sheltering, porch, dwarf, service, things, suspect, imagine, idea, sheltered, storm, convenient, unused, thoughts, inconveniencing, urn, coming, fact, willdo"
chapter_5,"precious, gollum, lost, pocketses, guess, nassty, curse, goblinses, preciouss, baggins, time, preciousss, haste, fish, fair, never, door, goblins, good, answer, sss, chance, wrong, promise, wait, things, guessed, left, thief, hates, blade, thing, underground, iss, handses, sword, praps, easy, asks, eh, chestnuts, teeth, half, moment, wind, creature, eye, eggses, table, quesstion"
chapter_6,"goblins, dark, time, bit, mountains, burglar, quietly, baggins, great, miles, quick, legs, birds, sing, good, heavens, dwarves, goodness, lost, tunnels, brought, bring, dori, suddenly, thought, door, crept, carefully, guess, gate, lots, block, partly, guard, night, hours, moon, light, wolves, trees, fly, boys, arms, poor, bacon, pan, shelf, eagles, glad, misty"
chapter_7,"good, goblins, heard, great, mirkwood, dwarves, breakfast, carrock, beorn, service, safe, baggins, time, long, south, killed, ponies, goblin, rather, meant, mountains, edge, round, gandalf, hobbit, tale, expect, sit, troop, fourteen, left, hope, forest, dark, path, north, sending, sun, luck, east, called, word, calls, introduce, bad, lost, night, pass, cross, inside"
chapter_8,"boat, good, forest, fili, rope, hook, bombur, tree, hobbit, dreams, eyes, bank, yards, thought, tied, light, baggins, draw, hope, kili, feast, coming, alive, bilbo, nasty, hang, starving, years, path, dori, magic, bit, balin, hold, time, oin, gloin, nori, bifur, bofur, dwalin, fat, safe, head, round, wake, lit, torches, fires, singing"
chapter_9,"king, time, spiders, taste, tonight, feast, escape, magic, doors, inside, crime, forest, angry, forget, people, trouble, burglar, day, wine, work, drink, good, fellow, hold, keys, save, disappear, galion, late, ha, head, jug, wake, waiting, small, fall, weight, ropes, brought, lost, hungry, thirsty, trapped, tame, beasts, pets, killing, wander, realm, leave"
chapter_10,"son, king, master, smell, baggins, thorin, thrain, thror, town, spoken, arms, apples, sick, expect, mountain, return, true, alive, dead, prison, free, food, silly, slap, rub, legs, chance, hope, never, tub, everlastingly, scarcely, cold, hunger, maddening, eat, wide, hours, apple, suppose, stars, arranged, comfortable, journey, service, doubt, feel, properly, grateful, fed"
chapter_11,"key, mountain, good, halls, time, doorstep, sitting, thinking, autumn, rate, songs, true, lies, left, dale, sides, green, woods, sheltered, valley, rich, pleasant, days, bells, rang, town, return, dark, birds, spies, evil, dragon, alive, imagine, smoke, prove, doubt, lying, keeping, watch, expect, smokes, steams, gates, filled, foul, reek, fat, turn, dizzy"
chapter_12,"smaug, time, baggins, good, night, suppose, dragon, alive, long, tunnel, door, never, share, revenge, luck, father, coming, bilbo, fool, quick, ponies, dragons, years, hill, lucky, water, thought, gold, mountain, dare, strong, left, men, shut, exceeding, usual, reward, job, longer, refuse, hardly, trust, stay, burglar, hear, leave, kill, work, steal, brought"
chapter_13,"smaug, light, feel, door, wind, hope, suppose, dragon, good, breakfast, mountain, face, die, rather, quiet, playing, earth, oin, gloin, time, round, luck, sh, burglar, choose, bat, thorin, quite, expect, chamber, gate, follow, never, expected, cold, place, days, coming, hear, smashed, open, suffocate, trapped, life, careful, unnecessary, risks, worm, eat, catch"
chapter_14,"king, bard, mountain, dragon, gold, time, songs, good, girion, north, river, arms, wait, arrow, true, lost, esgaroth, wise, men, shores, town, bowman, smaug, lights, night, watchmen, start, fade, midnight, dawn, happening, forging, long, began, prove, marauding, foreboding, gloomy, things, floods, poisoned, fish, cheerful, beneath, wealth, sun, silver, fountain, rivers, golden"
chapter_15,"mountain, thorin, son, dead, men, people, birds, smaug, thrain, esgaroth, bard, place, parley, speak, time, battle, wisdom, dale, treasure, dragon, girion, gold, king, matter, thrush, suppose, thought, long, hand, east, west, fall, trust, small, great, counsel, master, none, alive, bid, war, gates, armed, slain, heir, hoard, claims, elvenking, ere, return"
chapter_16,"good, thorin, dwarves, winter, long, baggins, time, gold, folk, snow, elves, friends, midnight, wake, bard, really, personally, heard, heart, arkenstone, river, stone, treasure, mountain, grim, cold, business, dwarf, stiff, tired, deal, feel, offer, mind, servant, bilbo, things, share, ready, claim, oakenshield, quite, sit, starve, dain, trouble, never, hope, father, worth"
chapter_17,"dain, eagles, mountain, friends, coming, gold, stone, time, thorin, mind, change, father, thieves, return, miserable, beard, gandalf, throw, rocks, never, descendant, rats, dear, uncomfortable, share, dwarves, service, meet, farewell, good, set, son, nain, war, long, halt, swiftly, goblins, moria, elves, wind, thought, alter, mood, bid, number, weaponless, hear, hail, rising"
chapter_18,"farewell, suppose, thorin, never, good, time, business, bilbo, baggins, halls, gold, merry, gift, hullo, news, voice, blessed, needed, dead, gandalf, knock, glad, luck, wait, leave, friendship, mountain, folk, treasure, claim, grow, happened, rate, fallen, heroes, victory, gloomy, speaks, stones, invisibility, drawbacks, spent, warm, comfortable, night, bed, companion, looked, long, numbered"
chapter_19,"long, merry, time, waken, night, cure, suppose, road, share, hobbit, baggins, songs, prophecies, true, ere, forest, grow, wholesome, north, freed, horror, years, hope, banished, fear, age, people, moon, lullaby, drunken, goblin, snores, stone, dragon, drawing, dawn, slept, tomorrow, cured, weariness, sleep, great, house, elrond, good, fair, friends, legends, coming, taste"
